,pref
0,adventurous
1,adventurous
2,adventurous
3,academic
4,adventurous
5,adventurous
6,adventurous
7,other
8,other
9,adventurous
10,adventurous
11,adventurous
12,academic
13,other
14,other
15,other
16,adventurous
17,adventurous
18,adventurous
19,adventurous
20,adventurous
21,adventurous
22,adventurous
23,adventurous
24,adventurous
25,adventurous
26,academic
27,adventurous
28,adventurous
29,adventurous
30,adventurous
31,adventurous
32,adventurous
33,adventurous
34,adventurous
35,adventurous
36,adventurous
37,adventurous
38,adventurous
39,adventurous
40,adventurous
41,academic
42,adventurous
43,adventurous
44,adventurous
45,adventurous
46,adventurous
47,adventurous
48,adventurous
49,other
50,adventurous
51,other
52,academic
53,adventurous
54,adventurous
55,adventurous
56,adventurous
57,academic
58,other
59,adventurous
60,adventurous
61,adventurous
62,other
63,adventurous
64,other
65,adventurous
66,adventurous
67,adventurous
68,adventurous
69,adventurous
70,adventurous
71,other
72,adventurous
73,adventurous
74,adventurous
75,academic
76,academic
77,adventurous
78,adventurous
79,academic
80,other
81,adventurous
82,adventurous
83,adventurous
84,other
85,adventurous
86,adventurous
87,adventurous
88,adventurous
89,adventurous
90,adventurous
91,adventurous
92,academic
93,adventurous
94,adventurous
95,adventurous
96,adventurous
97,adventurous
98,adventurous
99,adventurous
100,adventurous
101,adventurous
102,academic
103,adventurous
104,adventurous
105,adventurous
106,adventurous
107,academic
108,academic
109,adventurous
110,adventurous
111,other
112,adventurous
113,adventurous
114,adventurous
115,adventurous
116,other
117,adventurous
118,adventurous
119,adventurous
120,academic
121,adventurous
122,adventurous
123,academic
124,adventurous
125,academic
126,adventurous
127,adventurous
128,adventurous
129,adventurous
130,academic
131,adventurous
132,adventurous
133,adventurous
134,adventurous
135,adventurous
136,adventurous
137,adventurous
138,other
139,adventurous
140,other
141,adventurous
142,adventurous
143,adventurous
144,adventurous
145,academic
146,adventurous
147,adventurous
148,adventurous
149,adventurous
150,adventurous
151,academic
152,adventurous
153,adventurous
154,adventurous
155,adventurous
156,adventurous
157,adventurous
158,adventurous
159,other
160,adventurous
161,adventurous
162,adventurous
163,adventurous
164,other
165,other
166,adventurous
167,adventurous
168,adventurous
169,adventurous
170,adventurous
171,adventurous
172,adventurous
173,adventurous
174,adventurous
175,other
176,adventurous
177,adventurous
178,adventurous
179,academic
180,adventurous
181,adventurous
182,adventurous
183,adventurous
184,adventurous
185,adventurous
186,other
187,adventurous
188,academic
189,adventurous
190,adventurous
191,adventurous
192,adventurous
193,adventurous
194,adventurous
195,other
196,adventurous
197,adventurous
198,adventurous
199,adventurous
200,adventurous
201,adventurous
202,academic
203,adventurous
204,adventurous
205,adventurous
206,adventurous
207,adventurous
208,adventurous
209,adventurous
210,other
211,adventurous
212,adventurous
213,adventurous
214,adventurous
215,adventurous
216,adventurous
217,adventurous
218,adventurous
219,adventurous
220,adventurous
221,adventurous
222,other
223,adventurous
224,adventurous
225,adventurous
226,other
227,adventurous
228,adventurous
229,adventurous
230,adventurous
231,adventurous
232,adventurous
233,adventurous
234,adventurous
235,adventurous
236,adventurous
237,adventurous
238,adventurous
239,adventurous
240,adventurous
241,adventurous
242,adventurous
243,adventurous
244,adventurous
245,adventurous
246,adventurous
247,adventurous
248,adventurous
249,adventurous
250,other
251,adventurous
252,adventurous
253,adventurous
254,adventurous
255,adventurous
256,other
257,adventurous
258,adventurous
259,adventurous
260,adventurous
261,adventurous
262,adventurous
263,adventurous
264,other
265,other
266,adventurous
267,adventurous
268,adventurous
269,adventurous
270,adventurous
271,adventurous
272,adventurous
273,other
274,adventurous
275,adventurous
276,adventurous
277,adventurous
278,adventurous
279,other
280,other
281,adventurous
282,adventurous
283,adventurous
284,adventurous
285,adventurous
286,adventurous
287,adventurous
288,adventurous
289,adventurous
290,adventurous
291,other
292,adventurous
293,adventurous
294,academic
295,adventurous
296,adventurous
297,adventurous
298,adventurous
299,other
300,adventurous
301,adventurous
302,adventurous
303,adventurous
304,adventurous
305,adventurous
306,academic
307,adventurous
308,adventurous
309,academic
310,adventurous
311,adventurous
312,adventurous
313,adventurous
314,adventurous
315,other
316,adventurous
317,academic
318,adventurous
319,adventurous
320,adventurous
321,adventurous
322,other
323,adventurous
324,adventurous
325,adventurous
326,adventurous
327,adventurous
328,adventurous
329,adventurous
330,adventurous
331,adventurous
332,academic
333,adventurous
334,adventurous
335,adventurous
336,other
337,adventurous
338,adventurous
339,adventurous
340,adventurous
341,adventurous
342,adventurous
343,adventurous
344,adventurous
345,academic
346,adventurous
347,adventurous
348,academic
349,adventurous
350,academic
351,adventurous
352,adventurous
353,adventurous
354,adventurous
355,adventurous
356,adventurous
357,other
358,other
359,adventurous
360,other
361,adventurous
362,adventurous
363,adventurous
364,adventurous
365,adventurous
366,other
367,adventurous
368,adventurous
369,adventurous
370,adventurous
371,academic
372,adventurous
373,adventurous
374,adventurous
375,academic
376,other
377,adventurous
378,adventurous
379,adventurous
380,adventurous
381,adventurous
382,adventurous
383,adventurous
384,adventurous
385,adventurous
386,adventurous
387,adventurous
388,adventurous
389,adventurous
390,adventurous
391,adventurous
392,adventurous
393,adventurous
394,adventurous
395,adventurous
396,adventurous
397,adventurous
398,adventurous
399,adventurous
400,adventurous
401,adventurous
402,adventurous
403,adventurous
404,adventurous
405,adventurous
406,other
407,other
408,adventurous
409,adventurous
410,adventurous
411,adventurous
412,adventurous
413,academic
414,adventurous
415,adventurous
416,other
417,other
418,other
419,academic
420,adventurous
421,academic
422,adventurous
423,adventurous
424,adventurous
425,adventurous
426,adventurous
427,adventurous
428,other
429,adventurous
430,adventurous
431,adventurous
432,adventurous
433,academic
434,academic
435,adventurous
436,adventurous
437,adventurous
438,adventurous
439,adventurous
440,adventurous
441,adventurous
442,adventurous
443,adventurous
444,adventurous
445,academic
446,adventurous
447,adventurous
